"canonicalName","DEGREE","Gene","id","MCODE_CLUSTER_ID","MCODE_SCORE","MCODE_TYPE","name","selected","shared name","Symbol"
"RACK1","57.0","10399","10399","2.0","9.114285714285714","Clustered","10399","false","10399","RACK1"
"PRMT5","54.0","10419","10419","1.0","7.3478260869565215","Clustered","10419","false","10419","PRMT5"
"SEC24B","29.0","10427","10427","1.0","7.3478260869565215","Clustered","10427","false","10427","SEC24B"
"RBM14","29.0","10432","10432","5.0","2.047619047619048","Clustered","10432","false","10432","RBM14"
"EIF3M","31.0","10480","10480","2.0","9.114285714285714","Clustered","10480","false","10480","EIF3M"
"SEC23A","34.0","10484","10484","1.0","7.3478260869565215","Clustered","10484","false","10484","SEC23A"
"UNC13B","2.0","10497","10497","0.0","0.0","","10497","false","10497","UNC13B"
"ZNRD2","20.0","10534","10534","0.0","0.0","","10534","false","10534","ZNRD2"
"PRDX4","36.0","10549","10549","7.0","1.4210526315789473","Clustered","10549","false","10549","PRDX4"
"MRPL28","22.0","10573","10573","2.0","9.114285714285714","Clustered","10573","false","10573","MRPL28"
"CCT4","57.0","10575","10575","1.0","7.3478260869565215","Clustered","10575","false","10575","CCT4"
"CCT2","47.0","10576","10576","1.0","7.3478260869565215","Clustered","10576","false","10576","CCT2"
"P3H4","2.0","10609","10609","0.0","0.0","","10609","false","10609","P3H4"
"ERLIN1","8.0","10613","10613","0.0","0.0","","10613","false","10613","ERLIN1"
"RBCK1","11.0","10616","10616","9.0","1.5","Clustered","10616","false","10616","RBCK1"
"CCT8","77.0","10694","10694","1.0","7.3478260869565215","Clustered","10694","false","10694","CCT8"
"SEC24A","31.0","10802","10802","1.0","7.3478260869565215","Clustered","10802","false","10802","SEC24A"
"ERP29","7.0","10961","10961","0.0","0.0","","10961","false","10961","ERP29"
"CPSF6","38.0","11052","11052","5.0","2.047619047619048","Clustered","11052","false","11052","CPSF6"
"WDR6","12.0","11180","11180","0.0","0.0","","11180","false","11180","WDR6"
