Cluster,Score,Type,Gene,Symbol,Network
4,4.090909090909091,Clustered,7280,TUBB2A,MyList_SUB1
4,4.090909090909091,Clustered,829,CAPZA1,MyList_SUB1
4,4.090909090909091,Seed,9521,EEF1E1,MyList_SUB1
4,4.090909090909091,Clustered,246175,CNOT6L,MyList_SUB1
4,4.090909090909091,Clustered,7531,YWHAE,MyList_SUB1
4,4.090909090909091,Clustered,1808,DPYSL2,MyList_SUB1
4,4.090909090909091,Clustered,7846,TUBA1A,MyList_SUB1
4,4.090909090909091,Clustered,790,CAD,MyList_SUB1
8,2.8823529411764706,Clustered,23019,CNOT1,MyList_SUB1
8,2.8823529411764706,Clustered,3959,LGALS3BP,MyList_SUB1
8,2.8823529411764706,Clustered,6780,STAU1,MyList_SUB1
8,2.8823529411764706,Clustered,4677,NARS1,MyList_SUB1
8,2.8823529411764706,Clustered,9100,USP10,MyList_SUB1
8,2.8823529411764706,Clustered,8878,SQSTM1,MyList_SUB1
8,2.8823529411764706,Clustered,23367,LARP1,MyList_SUB1
8,2.8823529411764706,Clustered,5518,PPP2R1A,MyList_SUB1
8,2.8823529411764706,Seed,5034,P4HB,MyList_SUB1
8,2.8823529411764706,Clustered,3836,KPNA1,MyList_SUB1
8,2.8823529411764706,Clustered,7415,VCP,MyList_SUB1
8,2.8823529411764706,Clustered,6185,RPN2,MyList_SUB1
8,2.8823529411764706,Clustered,22820,COPG1,MyList_SUB1
8,2.8823529411764706,Clustered,4017,LOXL2,MyList_SUB1
8,2.8823529411764706,Clustered,5573,PRKAR1A,MyList_SUB1
8,2.8823529411764706,Clustered,7965,AIMP2,MyList_SUB1
8,2.8823529411764706,Clustered,3276,PRMT1,MyList_SUB1
3,2.4347826086956523,Clustered,3310,HSPA6,MyList_SUB1
3,2.4347826086956523,Clustered,9631,NUP155,MyList_SUB1
3,2.4347826086956523,Clustered,2673,GFPT1,MyList_SUB1
3,2.4347826086956523,Seed,8891,EIF2B3,MyList_SUB1
3,2.4347826086956523,Clustered,56474,CTPS2,MyList_SUB1
3,2.4347826086956523,Clustered,1460,CSNK2B,MyList_SUB1
3,2.4347826086956523,Clustered,29966,STRN3,MyList_SUB1
3,2.4347826086956523,Clustered,11321,GPN1,MyList_SUB1
3,2.4347826086956523,Clustered,8890,EIF2B4,MyList_SUB1
3,2.4347826086956523,Clustered,5700,PSMC1,MyList_SUB1
3,2.4347826086956523,Clustered,26286,ARFGAP3,MyList_SUB1
3,2.4347826086956523,Clustered,7385,UQCRC2,MyList_SUB1
3,2.4347826086956523,Clustered,10075,HUWE1,MyList_SUB1
3,2.4347826086956523,Clustered,2804,GOLGB1,MyList_SUB1
3,2.4347826086956523,Clustered,10155,TRIM28,MyList_SUB1
3,2.4347826086956523,Clustered,9733,SART3,MyList_SUB1
3,2.4347826086956523,Clustered,7529,YWHAB,MyList_SUB1
3,2.4347826086956523,Clustered,5704,PSMC4,MyList_SUB1
3,2.4347826086956523,Clustered,7514,XPO1,MyList_SUB1
3,2.4347826086956523,Clustered,9738,CCP110,MyList_SUB1
3,2.4347826086956523,Clustered,31,ACACA,MyList_SUB1
3,2.4347826086956523,Clustered,6712,SPTBN2,MyList_SUB1
3,2.4347826086956523,Clustered,7532,YWHAG,MyList_SUB1
6,2.1,Clustered,161,AP2A2,MyList_SUB1
6,2.1,Clustered,5784,PTPN14,MyList_SUB1
6,2.1,Clustered,51429,SNX9,MyList_SUB1
6,2.1,Clustered,55161,TMEM33,MyList_SUB1
6,2.1,Clustered,55705,IPO9,MyList_SUB1
6,2.1,Clustered,6118,RPA2,MyList_SUB1
6,2.1,Clustered,6709,SPTAN1,MyList_SUB1
6,2.1,Clustered,7184,HSP90B1,MyList_SUB1
6,2.1,Clustered,7205,TRIP6,MyList_SUB1
6,2.1,Clustered,51320,MEX3C,MyList_SUB1
6,2.1,Clustered,56829,ZC3HAV1,MyList_SUB1
6,2.1,Clustered,3654,IRAK1,MyList_SUB1
6,2.1,Clustered,6117,RPA1,MyList_SUB1
6,2.1,Clustered,2060,EPS15,MyList_SUB1
6,2.1,Clustered,26058,GIGYF2,MyList_SUB1
6,2.1,Clustered,5783,PTPN13,MyList_SUB1
6,2.1,Clustered,6748,SSR4,MyList_SUB1
6,2.1,Clustered,351,APP,MyList_SUB1
6,2.1,Clustered,857,CAV1,MyList_SUB1
6,2.1,Clustered,1315,COPB1,MyList_SUB1
5,2.047619047619048,Clustered,1495,CTNNA1,MyList_SUB1
5,2.047619047619048,Clustered,5255,PHKA1,MyList_SUB1
5,2.047619047619048,Clustered,10432,RBM14,MyList_SUB1
5,2.047619047619048,Clustered,5257,PHKB,MyList_SUB1
5,2.047619047619048,Clustered,11052,CPSF6,MyList_SUB1
5,2.047619047619048,Clustered,1499,CTNNB1,MyList_SUB1
5,2.047619047619048,Clustered,4686,NCBP1,MyList_SUB1
5,2.047619047619048,Clustered,7431,VIM,MyList_SUB1
5,2.047619047619048,Clustered,9859,CEP170,MyList_SUB1
5,2.047619047619048,Clustered,5256,PHKA2,MyList_SUB1
5,2.047619047619048,Clustered,25929,GEMIN5,MyList_SUB1
5,2.047619047619048,Clustered,8994,LIMD1,MyList_SUB1
5,2.047619047619048,Clustered,84962,AJUBA,MyList_SUB1
5,2.047619047619048,Clustered,6632,SNRPD1,MyList_SUB1
5,2.047619047619048,Clustered,55898,UNC45A,MyList_SUB1
5,2.047619047619048,Clustered,5261,PHKG2,MyList_SUB1
5,2.047619047619048,Clustered,5931,RBBP7,MyList_SUB1
5,2.047619047619048,Clustered,55832,CAND1,MyList_SUB1
5,2.047619047619048,Clustered,79084,WDR77,MyList_SUB1
5,2.047619047619048,Clustered,286077,FAM83H,MyList_SUB1
5,2.047619047619048,Seed,9208,LRRFIP1,MyList_SUB1
9,1.5,Clustered,4643,MYO1E,MyList_SUB1
9,1.5,Clustered,1508,CTSB,MyList_SUB1
