"Gene_A","Gene_B","interaction","name","Name_A","Name_B","SCORE","selected","shared interaction","shared name","source","support","target","TYPE"
"7431","8994","Direct","","VIM","LIMD1","208","false","Direct","","7431","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""34079125"", ""BioGrid_Type"": ""Proximity Label-MS"", ""BioGrid_Score"": ""17.28""}","8994","Direct"
"7431","8880","Direct","","VIM","FUBP1","294","false","Direct","","7431","{""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""16169070"", ""BioGrid_Type"": ""Two-hybrid"", ""BioGrid_Score"": ""4.0""}","8880","Direct"
"7431","8878","Direct","","VIM","SQSTM1","600","false","Direct","","7431","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.583,textmining:0.155"", ""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""28968743"", ""BioGrid_Type"": ""Affinity Capture-Western"", ""String_Score_Physical"": 600, ""String_Score_Combined"": 662}","8878","Direct"
"7431","8668","Direct","","VIM","EIF3I","294","false","Direct","","7431","{""InWeb_IM"": ""experimental""}","8668","Direct"
"7431","8665","Direct","","VIM","EIF3F","208","false","Direct","","7431","{""StringDB"": ""functional"", ""StringEvidence"": ""textmining:0.138,coexpression:0.022"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""31527668"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Combined"": 191, ""String_Score_Physical"": 208}","8665","Direct"
"7431","832","Direct","","VIM","CAPZB","208","false","Direct","","7431","{""StringDB"": ""functional"", ""StringEvidence"": ""textmining:0.140"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35271311"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Combined"": 175, ""String_Score_Physical"": 208}","832","Direct"
"7431","8139","Direct","","VIM","GAN","294","false","Direct","","7431","{""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""33961781,31944090,28514442,26460568"", ""BioGrid_Type"": ""Affinity Capture-MS,Affinity Capture-Western"", ""BioGrid_Score"": ""0.998092133,0.999261425""}","8139","Direct"
"7431","7965","Direct","","VIM","AIMP2","208","false","Direct","","7431","{""StringDB"": ""functional"", ""StringEvidence"": ""textmining:0.279"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35546148"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Combined"": 309, ""String_Score_Physical"": 208}","7965","Direct"
"7431","790","Direct","","VIM","CAD","208","false","Direct","","7431","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35831314"", ""BioGrid_Type"": ""Co-fractionation""}","790","Direct"
"7431","7531","Direct","","VIM","YWHAE","283","false","Direct","","7431","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.287,experiments:0.253"", ""String_Score_Physical"": 283, ""String_Score_Combined"": 489}","7531","Direct"
"7431","7529","Direct","","VIM","YWHAB","352","false","Direct","","7431","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.325,textmining:0.235"", ""InWeb_IM"": ""experimental"", ""String_Score_Physical"": 352, ""String_Score_Combined"": 504}","7529","Direct"
"7431","7465","Direct","","VIM","WEE1","208","false","Direct","","7431","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""30021884"", ""BioGrid_Type"": ""Proximity Label-MS""}","7465","Direct"
"7415","9919","Direct","","VCP","SEC16A","294","false","Direct","","7415","{""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""23383273"", ""BioGrid_Type"": ""Affinity Capture-MS""}","9919","Direct"
"7415","9337","Direct","","VCP","CNOT8","208","false","Direct","","7415","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""23383273"", ""BioGrid_Type"": ""Affinity Capture-MS""}","9337","Direct"
