shcGAS-1/shGFP	shcGAS-2/shGFP	shGFP	shcGAS-1	shcGAS-2
0.452288833	1.64288137	999.483	452.055	1642.032
0.45268421	1.043061409	664.609	300.858	693.228
0.452825339	1.407368804	269.596	122.0799	379.421
0.453050252	1.38844225	401.393	181.8512	557.311
0.453687188	0.479798694	5589.49	2535.88	2681.83
0.453702172	0.696129773	604.564	274.292	420.855
0.454657505	0.998743875	3606.33	1639.645	3601.8
0.455283872	0.758070909	991.555	451.439	751.669
0.456112239	1.531505638	77.1354	35.1824	118.1333
0.456470591	0.612387714	4332.68	1977.741	2653.28
0.457002558	1.13555527	225.539	103.0719	256.112
0.458399803	0.869103811	2192.73	1005.147	1905.71
0.460035126	0.328704468	350.165	161.0882	115.1008
0.46053518	1.20392944	376.135	173.2234	452.84
0.460959536	1.661449269	1433.026	660.567	2380.9
0.461732555	0.818459559	413.401	190.8807	338.352
0.462094527	0.332548694	432.088	199.6655	143.6903
0.463939859	0.566664719	4791.44	2222.94	2715.14
0.464323106	1.480298619	33.4875	15.54902	49.5715
0.464715189	0.96528178	300.217	139.5154	289.794
0.464901043	1.074379232	124.8171	58.0276	134.1009
0.465063745	1.297629148	2699.03	1255.221	3502.34
0.466328698	0.933596421	66.2389	30.8891	61.8404
0.466819794	0.497544871	4519.11	2109.61	2248.46
0.467232663	0.522619382	1556.077	727.05	813.236
0.46838628	1.013839724	1651.767	773.665	1674.627
0.468761634	1.019226994	590.94	277.01	602.302
0.470327016	0.556897951	177.2454	83.3633	98.7076
0.470338425	0.773756366	59.9513	28.1974	46.3877
0.471076174	0.59019471	365.415	172.1383	215.666
0.471614138	0.896857054	1004.567	473.768	900.953
0.472763339	0.69125336	177.2978	83.8199	122.5577
0.473626869	0.858272085	204.223	96.7255	175.2789
0.474907115	1.106428072	15782.96	7495.44	17462.71
0.475882335	1.196877139	60.4702	28.7767	72.3754
0.476110124	0.958000296	216.192	102.9312	207.112
0.476267279	0.535374121	583.435	277.871	312.356
0.47862779	0.410571731	220.768	105.6657	90.6411
0.479432383	1.345465735	506.962	243.054	682.1
0.479991803	1.085298409	2220.44	1065.793	2409.84
0.481070302	1.091823132	267.046	128.4679	291.567
0.481741849	0.890188796	67.0988	32.3243	59.7306
0.484233139	1.171455289	2374.03	1149.584	2781.07
0.484309489	0.200782896	628.947	304.605	126.2818
0.484776233	0.644477745	1219.212	591.045	785.755
0.485812572	1.366614457	192.2371	93.3912	262.714
0.487394574	0.517378028	743.41	362.334	384.624
0.488048455	0.554982399	869.26	424.241	482.424
0.493087659	0.521132592	2919.85	1439.742	1521.629
0.493251427	1.562321661	257.936	127.2273	402.979
0.494114166	0.850779125	71.6381	35.3974	60.9482
0.494505659	1.675439673	127.0944	62.8489	212.939
0.494802462	0.722900907	437.284	216.3692	316.113
0.49492287	0.870838729	1675.75	829.367	1459.308
0.496014517	1.110325049	151.0482	74.9221	167.7126
0.497065163	1.503950026	456.073	226.698	685.911
0.497888023	0.919210872	893.239	444.733	821.075
0.498589353	0.641813234	173.5374	86.5239	111.3786
0.499157931	1.295087538	297.244	148.3717	384.957
0.500775375	0.967001556	355.441	177.9961	343.712
0.501319183	0.692674585	77.8891	39.0473	53.9518
0.501519179	0.860248485	1624.562	814.749	1397.527
0.501625909	0.88614291	110.3998	55.3794	97.83
0.501775027	0.767679102	59.7174	29.9647	45.8438
0.503609065	0.739368165	885.548	445.97	654.746
0.505208672	0.577728022	415.365	209.846	239.968
0.506333512	0.951888828	561.221	284.165	534.22
0.506640258	1.11315142	132.3819	67.07	147.3611
0.507030854	1.358750345	2426.59	1230.356	3297.13
0.507187987	0.8070928	1530.679	776.342	1235.4
0.50798634	0.896791443	82.0213	41.6657	73.556
0.508432656	1.005805265	1031.822	524.612	1037.812
0.509413169	0.888278906	392.907	200.152	349.011
0.510216794	1.033337486	6903.34	3522.2	7133.48
0.510674398	0.88157331	2800.72	1430.256	2469.04
0.510918448	0.923791336	101.3743	51.794	93.6487
0.511017725	0.864555478	128.3795	65.6042	110.9912
0.511341128	0.945794783	64.1691	32.8123	60.6908
0.511427798	0.972920826	149.1626	76.2859	145.1234
0.511825532	1.171404872	462.939	236.944	542.289
0.512464079	1.752681838	1680.75	861.324	2945.82
0.51381601	0.59132739	742.291	381.401	438.937
0.514249223	1.554587986	73.2075	37.6469	113.8075
0.515433976	0.972412413	202.3555	104.3009	196.773
0.517558671	0.923024819	515.244	266.669	475.583
0.518732092	0.663107345	175.7919	91.1889	116.5689
0.518789054	0.856682075	1087.282	564.07	931.455
0.519977991	0.836405088	1215.863	632.222	1016.954
